NUmber_of_parameters= 1510 
 epoch 0, accuracy 0.29933333333333334 
epoch 1, accuracy 0.45258333333333334 
epoch 2, accuracy 0.5569166666666666 
epoch 3, accuracy 0.62625 
epoch 4, accuracy 0.6726666666666666 
epoch 5, accuracy 0.7059166666666666 
epoch 6, accuracy 0.73425 
epoch 7, accuracy 0.75525 
epoch 8, accuracy 0.7720833333333333 
epoch 9, accuracy 0.7871666666666667 
epoch 10, accuracy 0.7994166666666667 
epoch 11, accuracy 0.8094166666666667 
epoch 12, accuracy 0.817 
epoch 13, accuracy 0.8241666666666667 
epoch 14, accuracy 0.8296666666666667 
epoch 15, accuracy 0.8350833333333333 
epoch 16, accuracy 0.8401666666666666 
epoch 17, accuracy 0.8440833333333333 
epoch 18, accuracy 0.8481666666666666 
epoch 19, accuracy 0.8515 
epoch 20, accuracy 0.8563333333333333 
epoch 21, accuracy 0.859 
epoch 22, accuracy 0.8619166666666667 
epoch 23, accuracy 0.8635833333333334 
epoch 24, accuracy 0.8656666666666667 
epoch 25, accuracy 0.8675 
epoch 26, accuracy 0.8690833333333333 
epoch 27, accuracy 0.8708333333333333 
epoch 28, accuracy 0.8718333333333333 
epoch 29, accuracy 0.8736666666666667 
epoch 30, accuracy 0.8754166666666666 
epoch 31, accuracy 0.8765 
epoch 32, accuracy 0.8775833333333334 
epoch 33, accuracy 0.8784166666666666 
epoch 34, accuracy 0.87975 
epoch 35, accuracy 0.8805833333333334 
epoch 36, accuracy 0.8820833333333333 
epoch 37, accuracy 0.8838333333333334 
epoch 38, accuracy 0.8845 
epoch 39, accuracy 0.8853333333333333 
epoch 40, accuracy 0.8859166666666667 
epoch 41, accuracy 0.88675 
epoch 42, accuracy 0.8871666666666667 
epoch 43, accuracy 0.88825 
epoch 44, accuracy 0.88925 
epoch 45, accuracy 0.8904166666666666 
epoch 46, accuracy 0.8911666666666667 
epoch 47, accuracy 0.89175 
epoch 48, accuracy 0.8920833333333333 
epoch 49, accuracy 0.8925 
epoch 50, accuracy 0.8931666666666667 
epoch 51, accuracy 0.8940833333333333 
epoch 52, accuracy 0.8943333333333333 
epoch 53, accuracy 0.8946666666666667 
epoch 54, accuracy 0.8953333333333333 
epoch 55, accuracy 0.89625 
epoch 56, accuracy 0.89675 
epoch 57, accuracy 0.8969166666666667 
epoch 58, accuracy 0.8975 
epoch 59, accuracy 0.8978333333333334 
epoch 60, accuracy 0.898 
epoch 61, accuracy 0.8983333333333333 
epoch 62, accuracy 0.8988333333333334 
epoch 63, accuracy 0.8995833333333333 
epoch 64, accuracy 0.89975 
epoch 65, accuracy 0.90075 
epoch 66, accuracy 0.9011666666666667 
epoch 67, accuracy 0.9015833333333333 
epoch 68, accuracy 0.902 
epoch 69, accuracy 0.9024166666666666 
epoch 70, accuracy 0.9025833333333333 
epoch 71, accuracy 0.90275 
epoch 72, accuracy 0.9029166666666667 
epoch 73, accuracy 0.9035833333333333 
epoch 74, accuracy 0.9040833333333333 
epoch 75, accuracy 0.9046666666666666 
epoch 76, accuracy 0.9050833333333334 
epoch 77, accuracy 0.9051666666666667 
epoch 78, accuracy 0.9051666666666667 
epoch 79, accuracy 0.9056666666666666 
epoch 80, accuracy 0.9060833333333334 
epoch 81, accuracy 0.9063333333333333 
epoch 82, accuracy 0.9065833333333333 
epoch 83, accuracy 0.9068333333333334 
epoch 84, accuracy 0.9068333333333334 
epoch 85, accuracy 0.90725 
epoch 86, accuracy 0.9074166666666666 
epoch 87, accuracy 0.9080833333333334 
epoch 88, accuracy 0.9085 
epoch 89, accuracy 0.9085 
epoch 90, accuracy 0.90875 
epoch 91, accuracy 0.909 
epoch 92, accuracy 0.90925 
epoch 93, accuracy 0.9098333333333334 
epoch 94, accuracy 0.9101666666666667 
epoch 95, accuracy 0.91025 
epoch 96, accuracy 0.9104166666666667 
epoch 97, accuracy 0.91075 
epoch 98, accuracy 0.9109166666666667 
epoch 99, accuracy 0.9110833333333334 
epoch 100, accuracy 0.9113333333333333 
epoch 101, accuracy 0.91175 
epoch 102, accuracy 0.9116666666666666 
epoch 103, accuracy 0.9116666666666666 
epoch 104, accuracy 0.9116666666666666 
epoch 105, accuracy 0.91175 
epoch 106, accuracy 0.912 
epoch 107, accuracy 0.9120833333333334 
epoch 108, accuracy 0.91225 
epoch 109, accuracy 0.9123333333333333 
epoch 110, accuracy 0.913 
epoch 111, accuracy 0.9133333333333333 
epoch 112, accuracy 0.9139166666666667 
epoch 113, accuracy 0.914 
epoch 114, accuracy 0.914 
epoch 115, accuracy 0.9141666666666667 
epoch 116, accuracy 0.9143333333333333 
epoch 117, accuracy 0.9145833333333333 
epoch 118, accuracy 0.9148333333333334 
epoch 119, accuracy 0.91525 
epoch 120, accuracy 0.9155 
epoch 121, accuracy 0.9155 
epoch 122, accuracy 0.916 
epoch 123, accuracy 0.9160833333333334 
epoch 124, accuracy 0.9165 
epoch 125, accuracy 0.9169166666666667 
epoch 126, accuracy 0.9171666666666667 
