NUmber_of_parameters= 1510 
 epoch 0, accuracy 0.3745 
epoch 1, accuracy 0.5738333333333333 
epoch 2, accuracy 0.7039166666666666 
epoch 3, accuracy 0.7583333333333333 
epoch 4, accuracy 0.7885 
epoch 5, accuracy 0.8066666666666666 
epoch 6, accuracy 0.8219166666666666 
epoch 7, accuracy 0.8315 
epoch 8, accuracy 0.8410833333333333 
epoch 9, accuracy 0.848 
epoch 10, accuracy 0.8534166666666667 
epoch 11, accuracy 0.859 
epoch 12, accuracy 0.8635833333333334 
epoch 13, accuracy 0.8675 
epoch 14, accuracy 0.8708333333333333 
epoch 15, accuracy 0.8733333333333333 
epoch 16, accuracy 0.8756666666666667 
epoch 17, accuracy 0.8784166666666666 
epoch 18, accuracy 0.8814166666666666 
epoch 19, accuracy 0.8838333333333334 
epoch 20, accuracy 0.8853333333333333 
epoch 21, accuracy 0.88725 
epoch 22, accuracy 0.8894166666666666 
epoch 23, accuracy 0.8915833333333333 
epoch 24, accuracy 0.8929166666666667 
epoch 25, accuracy 0.8941666666666667 
epoch 26, accuracy 0.8950833333333333 
epoch 27, accuracy 0.8966666666666666 
epoch 28, accuracy 0.89775 
epoch 29, accuracy 0.8994166666666666 
epoch 30, accuracy 0.9005 
epoch 31, accuracy 0.90175 
epoch 32, accuracy 0.9025 
epoch 33, accuracy 0.9031666666666667 
epoch 34, accuracy 0.9038333333333334 
epoch 35, accuracy 0.9049166666666667 
epoch 36, accuracy 0.9059166666666667 
epoch 37, accuracy 0.9066666666666666 
epoch 38, accuracy 0.908 
epoch 39, accuracy 0.9091666666666667 
epoch 40, accuracy 0.91025 
epoch 41, accuracy 0.911 
epoch 42, accuracy 0.9125833333333333 
epoch 43, accuracy 0.9130833333333334 
epoch 44, accuracy 0.9139166666666667 
epoch 45, accuracy 0.9145833333333333 
epoch 46, accuracy 0.9150833333333334 
epoch 47, accuracy 0.9158333333333334 
epoch 48, accuracy 0.9161666666666667 
epoch 49, accuracy 0.9166666666666666 
epoch 50, accuracy 0.9175 
epoch 51, accuracy 0.9176666666666666 
epoch 52, accuracy 0.91825 
epoch 53, accuracy 0.9186666666666666 
epoch 54, accuracy 0.9193333333333333 
epoch 55, accuracy 0.92 
epoch 56, accuracy 0.9206666666666666 
epoch 57, accuracy 0.9210833333333334 
epoch 58, accuracy 0.9213333333333333 
epoch 59, accuracy 0.9214166666666667 
epoch 60, accuracy 0.9216666666666666 
epoch 61, accuracy 0.9216666666666666 
epoch 62, accuracy 0.922 
epoch 63, accuracy 0.922 
epoch 64, accuracy 0.9221666666666667 
epoch 65, accuracy 0.92225 
epoch 66, accuracy 0.9224166666666667 
epoch 67, accuracy 0.92275 
epoch 68, accuracy 0.9229166666666667 
epoch 69, accuracy 0.92325 
epoch 70, accuracy 0.9235833333333333 
epoch 71, accuracy 0.9240833333333334 
epoch 72, accuracy 0.9245833333333333 
epoch 73, accuracy 0.9248333333333333 
epoch 74, accuracy 0.9255 
epoch 75, accuracy 0.9256666666666666 
epoch 76, accuracy 0.9258333333333333 
epoch 77, accuracy 0.92625 
epoch 78, accuracy 0.9266666666666666 
epoch 79, accuracy 0.9269166666666667 
epoch 80, accuracy 0.9273333333333333 
epoch 81, accuracy 0.9275 
epoch 82, accuracy 0.9275833333333333 
epoch 83, accuracy 0.92775 
epoch 84, accuracy 0.928 
epoch 85, accuracy 0.92825 
epoch 86, accuracy 0.9285 
epoch 87, accuracy 0.92875 
epoch 88, accuracy 0.9290833333333334 
epoch 89, accuracy 0.9291666666666667 
epoch 90, accuracy 0.9291666666666667 
epoch 91, accuracy 0.9295833333333333 
epoch 92, accuracy 0.9296666666666666 
epoch 93, accuracy 0.9299166666666666 
epoch 94, accuracy 0.93 
epoch 95, accuracy 0.9301666666666667 
epoch 96, accuracy 0.9304166666666667 
epoch 97, accuracy 0.93075 
epoch 98, accuracy 0.9309166666666666 
epoch 99, accuracy 0.9311666666666667 
epoch 100, accuracy 0.9313333333333333 
epoch 101, accuracy 0.9314166666666667 
epoch 102, accuracy 0.93175 
epoch 103, accuracy 0.9318333333333333 
epoch 104, accuracy 0.9320833333333334 
epoch 105, accuracy 0.9323333333333333 
epoch 106, accuracy 0.9323333333333333 
epoch 107, accuracy 0.9326666666666666 
epoch 108, accuracy 0.9328333333333333 
epoch 109, accuracy 0.9329166666666666 
epoch 110, accuracy 0.933 
epoch 111, accuracy 0.93325 
epoch 112, accuracy 0.9334166666666667 
epoch 113, accuracy 0.9335 
epoch 114, accuracy 0.9336666666666666 
epoch 115, accuracy 0.9339166666666666 
epoch 116, accuracy 0.9340833333333334 
epoch 117, accuracy 0.9341666666666667 
epoch 118, accuracy 0.9345 
