NUmber_of_parameters= 1510 
 epoch 0, accuracy 0.68375 
epoch 1, accuracy 0.7891666666666667 
epoch 2, accuracy 0.8355 
epoch 3, accuracy 0.85575 
epoch 4, accuracy 0.86725 
epoch 5, accuracy 0.87525 
epoch 6, accuracy 0.8816666666666667 
epoch 7, accuracy 0.8871666666666667 
epoch 8, accuracy 0.892 
epoch 9, accuracy 0.8950833333333333 
epoch 10, accuracy 0.8983333333333333 
epoch 11, accuracy 0.90175 
epoch 12, accuracy 0.9035 
epoch 13, accuracy 0.906 
epoch 14, accuracy 0.9085 
epoch 15, accuracy 0.9098333333333334 
epoch 16, accuracy 0.9113333333333333 
epoch 17, accuracy 0.9125 
epoch 18, accuracy 0.9133333333333333 
epoch 19, accuracy 0.9144166666666667 
epoch 20, accuracy 0.91625 
epoch 21, accuracy 0.917 
epoch 22, accuracy 0.9175833333333333 
epoch 23, accuracy 0.9179166666666667 
epoch 24, accuracy 0.91875 
epoch 25, accuracy 0.9200833333333334 
epoch 26, accuracy 0.9210833333333334 
epoch 27, accuracy 0.92175 
epoch 28, accuracy 0.9226666666666666 
epoch 29, accuracy 0.9229166666666667 
epoch 30, accuracy 0.9234166666666667 
epoch 31, accuracy 0.9239166666666667 
epoch 32, accuracy 0.9245 
epoch 33, accuracy 0.9251666666666667 
epoch 34, accuracy 0.92575 
epoch 35, accuracy 0.9264166666666667 
epoch 36, accuracy 0.92675 
epoch 37, accuracy 0.9265833333333333 
epoch 38, accuracy 0.9263333333333333 
epoch 39, accuracy 0.9265 
epoch 40, accuracy 0.9265833333333333 
epoch 41, accuracy 0.9265833333333333 
epoch 42, accuracy 0.9271666666666667 
epoch 43, accuracy 0.9274166666666667 
epoch 44, accuracy 0.9276666666666666 
epoch 45, accuracy 0.9281666666666667 
epoch 46, accuracy 0.9286666666666666 
epoch 47, accuracy 0.9288333333333333 
epoch 48, accuracy 0.929 
epoch 49, accuracy 0.9293333333333333 
epoch 50, accuracy 0.9298333333333333 
epoch 51, accuracy 0.9299166666666666 
epoch 52, accuracy 0.9303333333333333 
epoch 53, accuracy 0.93075 
epoch 54, accuracy 0.9309166666666666 
epoch 55, accuracy 0.931 
epoch 56, accuracy 0.9315 
epoch 57, accuracy 0.93175 
epoch 58, accuracy 0.9320833333333334 
epoch 59, accuracy 0.9321666666666667 
epoch 60, accuracy 0.9321666666666667 
epoch 61, accuracy 0.9321666666666667 
epoch 62, accuracy 0.9320833333333334 
epoch 63, accuracy 0.9320833333333334 
epoch 64, accuracy 0.9319166666666666 
epoch 65, accuracy 0.9324166666666667 
epoch 66, accuracy 0.9326666666666666 
epoch 67, accuracy 0.9329166666666666 
