NUmber_of_parameters= 1110 
 epoch 0, accuracy 0.4825 
epoch 1, accuracy 0.6813333333333333 
epoch 2, accuracy 0.7473333333333333 
epoch 3, accuracy 0.7773333333333333 
epoch 4, accuracy 0.79625 
epoch 5, accuracy 0.812 
epoch 6, accuracy 0.8255 
epoch 7, accuracy 0.83475 
epoch 8, accuracy 0.8423333333333334 
epoch 9, accuracy 0.8483333333333334 
epoch 10, accuracy 0.8545 
epoch 11, accuracy 0.8585 
epoch 12, accuracy 0.86225 
epoch 13, accuracy 0.8655 
epoch 14, accuracy 0.8674166666666666 
epoch 15, accuracy 0.86925 
epoch 16, accuracy 0.8710833333333333 
epoch 17, accuracy 0.8724166666666666 
epoch 18, accuracy 0.8743333333333333 
epoch 19, accuracy 0.8756666666666667 
epoch 20, accuracy 0.87675 
epoch 21, accuracy 0.8773333333333333 
epoch 22, accuracy 0.8785 
epoch 23, accuracy 0.8795 
epoch 24, accuracy 0.88025 
epoch 25, accuracy 0.8815 
epoch 26, accuracy 0.8830833333333333 
epoch 27, accuracy 0.8841666666666667 
epoch 28, accuracy 0.8849166666666667 
epoch 29, accuracy 0.88575 
epoch 30, accuracy 0.8860833333333333 
epoch 31, accuracy 0.8865 
epoch 32, accuracy 0.8871666666666667 
epoch 33, accuracy 0.8881666666666667 
epoch 34, accuracy 0.889 
epoch 35, accuracy 0.8899166666666667 
epoch 36, accuracy 0.8904166666666666 
epoch 37, accuracy 0.8911666666666667 
epoch 38, accuracy 0.89175 
epoch 39, accuracy 0.8925 
epoch 40, accuracy 0.89325 
epoch 41, accuracy 0.8943333333333333 
epoch 42, accuracy 0.89525 
epoch 43, accuracy 0.8956666666666667 
epoch 44, accuracy 0.8961666666666667 
epoch 45, accuracy 0.8968333333333334 
epoch 46, accuracy 0.8979166666666667 
epoch 47, accuracy 0.8985833333333333 
epoch 48, accuracy 0.8995833333333333 
epoch 49, accuracy 0.8999166666666667 
epoch 50, accuracy 0.9005 
epoch 51, accuracy 0.9008333333333334 
epoch 52, accuracy 0.90075 
epoch 53, accuracy 0.9010833333333333 
epoch 54, accuracy 0.90175 
epoch 55, accuracy 0.90225 
epoch 56, accuracy 0.9025833333333333 
epoch 57, accuracy 0.90325 
epoch 58, accuracy 0.90325 
epoch 59, accuracy 0.9036666666666666 
epoch 60, accuracy 0.9039166666666667 
epoch 61, accuracy 0.9041666666666667 
epoch 62, accuracy 0.9040833333333333 
epoch 63, accuracy 0.9044166666666666 
epoch 64, accuracy 0.9045 
epoch 65, accuracy 0.9049166666666667 
epoch 66, accuracy 0.9055833333333333 
epoch 67, accuracy 0.9059166666666667 
epoch 68, accuracy 0.9063333333333333 
epoch 69, accuracy 0.9065833333333333 
epoch 70, accuracy 0.9065833333333333 
epoch 71, accuracy 0.9064166666666666 
epoch 72, accuracy 0.9066666666666666 
epoch 73, accuracy 0.90675 
epoch 74, accuracy 0.9071666666666667 
epoch 75, accuracy 0.9075 
epoch 76, accuracy 0.9076666666666666 
epoch 77, accuracy 0.9076666666666666 
epoch 78, accuracy 0.908 
epoch 79, accuracy 0.908 
epoch 80, accuracy 0.908 
epoch 81, accuracy 0.9083333333333333 
epoch 82, accuracy 0.9085833333333333 
epoch 83, accuracy 0.9089166666666667 
epoch 84, accuracy 0.909 
epoch 85, accuracy 0.9089166666666667 
epoch 86, accuracy 0.909 
epoch 87, accuracy 0.9090833333333334 
epoch 88, accuracy 0.9095 
epoch 89, accuracy 0.9098333333333334 
epoch 90, accuracy 0.9099166666666667 
epoch 91, accuracy 0.9101666666666667 
epoch 92, accuracy 0.9105833333333333 
epoch 93, accuracy 0.91075 
epoch 94, accuracy 0.9113333333333333 
epoch 95, accuracy 0.9115833333333333 
epoch 96, accuracy 0.9119166666666667 
epoch 97, accuracy 0.9121666666666667 
epoch 98, accuracy 0.9125 
epoch 99, accuracy 0.913 
epoch 100, accuracy 0.913 
epoch 101, accuracy 0.91325 
epoch 102, accuracy 0.9135 
epoch 103, accuracy 0.9136666666666666 
epoch 104, accuracy 0.9138333333333334 
epoch 105, accuracy 0.91375 
epoch 106, accuracy 0.9140833333333334 
epoch 107, accuracy 0.9144166666666667 
epoch 108, accuracy 0.9145833333333333 
epoch 109, accuracy 0.9149166666666667 
epoch 110, accuracy 0.915 
epoch 111, accuracy 0.9149166666666667 
epoch 112, accuracy 0.9148333333333334 
epoch 113, accuracy 0.9148333333333334 
epoch 114, accuracy 0.9148333333333334 
epoch 115, accuracy 0.9148333333333334 
epoch 116, accuracy 0.9148333333333334 
epoch 117, accuracy 0.9150833333333334 
epoch 118, accuracy 0.9151666666666667 
epoch 119, accuracy 0.9151666666666667 
epoch 120, accuracy 0.91525 
epoch 121, accuracy 0.91525 
epoch 122, accuracy 0.91525 
epoch 123, accuracy 0.9153333333333333 
epoch 124, accuracy 0.9153333333333333 
epoch 125, accuracy 0.9153333333333333 
epoch 126, accuracy 0.91525 
epoch 127, accuracy 0.9154166666666667 
epoch 128, accuracy 0.9155 
epoch 129, accuracy 0.9158333333333334 
epoch 130, accuracy 0.9158333333333334 
epoch 131, accuracy 0.9158333333333334 
epoch 132, accuracy 0.916 
epoch 133, accuracy 0.9160833333333334 
epoch 134, accuracy 0.9163333333333333 
epoch 135, accuracy 0.91625 
epoch 136, accuracy 0.9163333333333333 
epoch 137, accuracy 0.9164166666666667 
epoch 138, accuracy 0.9166666666666666 
epoch 139, accuracy 0.9165833333333333 
epoch 140, accuracy 0.9166666666666666 
epoch 141, accuracy 0.9165833333333333 
epoch 142, accuracy 0.9165833333333333 
epoch 143, accuracy 0.9165 
epoch 144, accuracy 0.9165 
epoch 145, accuracy 0.9165833333333333 
epoch 146, accuracy 0.9170833333333334 
epoch 147, accuracy 0.9173333333333333 
epoch 148, accuracy 0.9175 
epoch 149, accuracy 0.9174166666666667 
epoch 150, accuracy 0.9175833333333333 
epoch 151, accuracy 0.91775 
epoch 152, accuracy 0.9179166666666667 
epoch 153, accuracy 0.9178333333333333 
epoch 154, accuracy 0.918 
epoch 155, accuracy 0.918 
epoch 156, accuracy 0.91825 
epoch 157, accuracy 0.91825 
epoch 158, accuracy 0.9184166666666667 
epoch 159, accuracy 0.9185833333333333 
epoch 160, accuracy 0.9185 
epoch 161, accuracy 0.9184166666666667 
epoch 162, accuracy 0.9186666666666666 
epoch 163, accuracy 0.91875 
epoch 164, accuracy 0.9190833333333334 
