NUmber_of_parameters= 5010 
 epoch 0, accuracy 0.7129166666666666 
epoch 1, accuracy 0.8225833333333333 
epoch 2, accuracy 0.857 
epoch 3, accuracy 0.879 
epoch 4, accuracy 0.8918333333333334 
epoch 5, accuracy 0.9013333333333333 
epoch 6, accuracy 0.9084166666666667 
epoch 7, accuracy 0.9134166666666667 
epoch 8, accuracy 0.9179166666666667 
epoch 9, accuracy 0.922 
epoch 10, accuracy 0.9243333333333333 
epoch 11, accuracy 0.9281666666666667 
epoch 12, accuracy 0.9303333333333333 
epoch 13, accuracy 0.9330833333333334 
epoch 14, accuracy 0.9346666666666666 
epoch 15, accuracy 0.9365 
epoch 16, accuracy 0.9386666666666666 
epoch 17, accuracy 0.9405833333333333 
epoch 18, accuracy 0.9415833333333333 
epoch 19, accuracy 0.9428333333333333 
epoch 20, accuracy 0.9435 
epoch 21, accuracy 0.9445833333333333 
epoch 22, accuracy 0.946 
epoch 23, accuracy 0.9471666666666667 
epoch 24, accuracy 0.94775 
epoch 25, accuracy 0.9485 
epoch 26, accuracy 0.9494166666666667 
epoch 27, accuracy 0.9501666666666667 
epoch 28, accuracy 0.9505833333333333 
epoch 29, accuracy 0.9511666666666667 
epoch 30, accuracy 0.9516666666666667 
epoch 31, accuracy 0.9519166666666666 
epoch 32, accuracy 0.9523333333333334 
epoch 33, accuracy 0.95275 
epoch 34, accuracy 0.9528333333333333 
epoch 35, accuracy 0.9535 
epoch 36, accuracy 0.9535833333333333 
epoch 37, accuracy 0.9536666666666667 
epoch 38, accuracy 0.9535 
epoch 39, accuracy 0.95375 
epoch 40, accuracy 0.9538333333333333 
epoch 41, accuracy 0.9544166666666667 
epoch 42, accuracy 0.95475 
epoch 43, accuracy 0.9549166666666666 
epoch 44, accuracy 0.9548333333333333 
epoch 45, accuracy 0.9551666666666667 
epoch 46, accuracy 0.9553333333333334 
epoch 47, accuracy 0.9556666666666667 
epoch 48, accuracy 0.9559166666666666 
epoch 49, accuracy 0.9563333333333334 
epoch 50, accuracy 0.95675 
epoch 51, accuracy 0.95675 
epoch 52, accuracy 0.95725 
epoch 53, accuracy 0.9574166666666667 
epoch 54, accuracy 0.9575 
epoch 55, accuracy 0.95775 
epoch 56, accuracy 0.9579166666666666 
epoch 57, accuracy 0.9580833333333333 
epoch 58, accuracy 0.9583333333333334 
epoch 59, accuracy 0.9584166666666667 
epoch 60, accuracy 0.9585 
epoch 61, accuracy 0.9586666666666667 
epoch 62, accuracy 0.95875 
epoch 63, accuracy 0.9589166666666666 
epoch 64, accuracy 0.9591666666666666 
epoch 65, accuracy 0.9593333333333334 
epoch 66, accuracy 0.9594166666666667 
epoch 67, accuracy 0.9594166666666667 
epoch 68, accuracy 0.9595 
epoch 69, accuracy 0.9595833333333333 
epoch 70, accuracy 0.95975 
epoch 71, accuracy 0.9596666666666667 
epoch 72, accuracy 0.9598333333333333 
epoch 73, accuracy 0.9598333333333333 
epoch 74, accuracy 0.96025 
epoch 75, accuracy 0.9603333333333334 
epoch 76, accuracy 0.9605 
epoch 77, accuracy 0.9604166666666667 
epoch 78, accuracy 0.9604166666666667 
epoch 79, accuracy 0.9603333333333334 
epoch 80, accuracy 0.9600833333333333 
epoch 81, accuracy 0.9604166666666667 
epoch 82, accuracy 0.9606666666666667 
epoch 83, accuracy 0.96075 
epoch 84, accuracy 0.9608333333333333 
epoch 85, accuracy 0.961 
epoch 86, accuracy 0.9611666666666666 
epoch 87, accuracy 0.9610833333333333 
epoch 88, accuracy 0.9610833333333333 
epoch 89, accuracy 0.9611666666666666 
epoch 90, accuracy 0.96125 
