NUmber_of_parameters= 990 
 epoch 0, accuracy 0.5948333333333333 
epoch 1, accuracy 0.714 
epoch 2, accuracy 0.75275 
epoch 3, accuracy 0.809 
epoch 4, accuracy 0.8424166666666667 
epoch 5, accuracy 0.8543333333333333 
epoch 6, accuracy 0.8595833333333334 
epoch 7, accuracy 0.8605 
epoch 8, accuracy 0.8640833333333333 
epoch 9, accuracy 0.86775 
epoch 10, accuracy 0.87125 
epoch 11, accuracy 0.87525 
epoch 12, accuracy 0.8805 
epoch 13, accuracy 0.8848333333333334 
epoch 14, accuracy 0.8879166666666667 
epoch 15, accuracy 0.89 
epoch 16, accuracy 0.8918333333333334 
epoch 17, accuracy 0.8938333333333334 
epoch 18, accuracy 0.8959166666666667 
epoch 19, accuracy 0.8986666666666666 
epoch 20, accuracy 0.90025 
epoch 21, accuracy 0.9011666666666667 
epoch 22, accuracy 0.9006666666666666 
epoch 23, accuracy 0.9010833333333333 
epoch 24, accuracy 0.9009166666666667 
epoch 25, accuracy 0.9010833333333333 
epoch 26, accuracy 0.9009166666666667 
epoch 27, accuracy 0.9009166666666667 
epoch 28, accuracy 0.9005833333333333 
epoch 29, accuracy 0.89925 
epoch 30, accuracy 0.8985833333333333 
epoch 31, accuracy 0.8985833333333333 
epoch 32, accuracy 0.8980833333333333 
epoch 33, accuracy 0.8979166666666667 
epoch 34, accuracy 0.897 
epoch 35, accuracy 0.8969166666666667 
epoch 36, accuracy 0.8974166666666666 
epoch 37, accuracy 0.8973333333333333 
epoch 38, accuracy 0.8970833333333333 
epoch 39, accuracy 0.89675 
epoch 40, accuracy 0.896 
epoch 41, accuracy 0.89625 
epoch 42, accuracy 0.8961666666666667 
epoch 43, accuracy 0.89625 
epoch 44, accuracy 0.8960833333333333 
epoch 45, accuracy 0.8960833333333333 
epoch 46, accuracy 0.8956666666666667 
epoch 47, accuracy 0.89525 
epoch 48, accuracy 0.8946666666666667 
epoch 49, accuracy 0.8941666666666667 
epoch 50, accuracy 0.8931666666666667 
epoch 51, accuracy 0.8929166666666667 
epoch 52, accuracy 0.8925833333333333 
epoch 53, accuracy 0.8926666666666667 
epoch 54, accuracy 0.8923333333333333 
epoch 55, accuracy 0.8923333333333333 
epoch 56, accuracy 0.8915833333333333 
epoch 57, accuracy 0.89125 
epoch 58, accuracy 0.89125 
epoch 59, accuracy 0.8909166666666667 
epoch 60, accuracy 0.8906666666666667 
epoch 61, accuracy 0.89025 
epoch 62, accuracy 0.8903333333333333 
epoch 63, accuracy 0.88975 
epoch 64, accuracy 0.8890833333333333 
epoch 65, accuracy 0.88875 
epoch 66, accuracy 0.8880833333333333 
epoch 67, accuracy 0.8874166666666666 
epoch 68, accuracy 0.8871666666666667 
epoch 69, accuracy 0.8866666666666667 
epoch 70, accuracy 0.8863333333333333 
epoch 71, accuracy 0.8859166666666667 
epoch 72, accuracy 0.886 
epoch 73, accuracy 0.8856666666666667 
epoch 74, accuracy 0.8849166666666667 
epoch 75, accuracy 0.8846666666666667 
epoch 76, accuracy 0.8843333333333333 
epoch 77, accuracy 0.884 
epoch 78, accuracy 0.8839166666666667 
epoch 79, accuracy 0.8838333333333334 
epoch 80, accuracy 0.8836666666666667 
epoch 81, accuracy 0.8834166666666666 
