NUmber_of_parameters= 1210 
 epoch 0, accuracy 0.6275833333333334 
epoch 1, accuracy 0.714 
epoch 2, accuracy 0.7683333333333333 
epoch 3, accuracy 0.8085 
epoch 4, accuracy 0.834 
epoch 5, accuracy 0.8505833333333334 
epoch 6, accuracy 0.8620833333333333 
epoch 7, accuracy 0.8688333333333333 
epoch 8, accuracy 0.8749166666666667 
epoch 9, accuracy 0.8795 
epoch 10, accuracy 0.8826666666666667 
epoch 11, accuracy 0.8854166666666666 
epoch 12, accuracy 0.8878333333333334 
epoch 13, accuracy 0.8894166666666666 
epoch 14, accuracy 0.8911666666666667 
epoch 15, accuracy 0.8925 
epoch 16, accuracy 0.89425 
epoch 17, accuracy 0.895 
epoch 18, accuracy 0.8965 
epoch 19, accuracy 0.8975833333333333 
epoch 20, accuracy 0.8981666666666667 
epoch 21, accuracy 0.8996666666666666 
epoch 22, accuracy 0.9013333333333333 
epoch 23, accuracy 0.9021666666666667 
epoch 24, accuracy 0.9024166666666666 
epoch 25, accuracy 0.9024166666666666 
epoch 26, accuracy 0.9035 
epoch 27, accuracy 0.9045833333333333 
epoch 28, accuracy 0.9053333333333333 
epoch 29, accuracy 0.90525 
epoch 30, accuracy 0.9060833333333334 
epoch 31, accuracy 0.9066666666666666 
epoch 32, accuracy 0.90725 
epoch 33, accuracy 0.9075833333333333 
epoch 34, accuracy 0.9079166666666667 
epoch 35, accuracy 0.90875 
epoch 36, accuracy 0.90925 
epoch 37, accuracy 0.9099166666666667 
epoch 38, accuracy 0.9105 
epoch 39, accuracy 0.9114166666666667 
epoch 40, accuracy 0.9118333333333334 
epoch 41, accuracy 0.91225 
epoch 42, accuracy 0.9125833333333333 
epoch 43, accuracy 0.9125833333333333 
epoch 44, accuracy 0.9135833333333333 
epoch 45, accuracy 0.91375 
epoch 46, accuracy 0.9140833333333334 
epoch 47, accuracy 0.9140833333333334 
epoch 48, accuracy 0.9140833333333334 
epoch 49, accuracy 0.9145 
epoch 50, accuracy 0.9144166666666667 
epoch 51, accuracy 0.91475 
epoch 52, accuracy 0.9151666666666667 
epoch 53, accuracy 0.9155 
epoch 54, accuracy 0.9154166666666667 
epoch 55, accuracy 0.91575 
epoch 56, accuracy 0.916 
epoch 57, accuracy 0.9161666666666667 
epoch 58, accuracy 0.9164166666666667 
epoch 59, accuracy 0.9164166666666667 
epoch 60, accuracy 0.917 
epoch 61, accuracy 0.9175 
epoch 62, accuracy 0.9175833333333333 
epoch 63, accuracy 0.9176666666666666 
epoch 64, accuracy 0.9178333333333333 
epoch 65, accuracy 0.91775 
epoch 66, accuracy 0.9179166666666667 
epoch 67, accuracy 0.9179166666666667 
epoch 68, accuracy 0.918 
epoch 69, accuracy 0.9180833333333334 
epoch 70, accuracy 0.9181666666666667 
epoch 71, accuracy 0.91825 
epoch 72, accuracy 0.91875 
epoch 73, accuracy 0.9189166666666667 
epoch 74, accuracy 0.9188333333333333 
epoch 75, accuracy 0.919 
epoch 76, accuracy 0.919 
epoch 77, accuracy 0.91925 
epoch 78, accuracy 0.9194166666666667 
epoch 79, accuracy 0.9195833333333333 
epoch 80, accuracy 0.9195833333333333 
epoch 81, accuracy 0.91975 
epoch 82, accuracy 0.91975 
epoch 83, accuracy 0.9201666666666667 
epoch 84, accuracy 0.9205833333333333 
epoch 85, accuracy 0.9209166666666667 
epoch 86, accuracy 0.9215 
epoch 87, accuracy 0.92175 
epoch 88, accuracy 0.9218333333333333 
epoch 89, accuracy 0.92225 
epoch 90, accuracy 0.92275 
epoch 91, accuracy 0.92275 
epoch 92, accuracy 0.92325 
epoch 93, accuracy 0.923 
epoch 94, accuracy 0.9229166666666667 
epoch 95, accuracy 0.9229166666666667 
epoch 96, accuracy 0.9228333333333333 
epoch 97, accuracy 0.92275 
epoch 98, accuracy 0.9229166666666667 
epoch 99, accuracy 0.923 
epoch 100, accuracy 0.923 
epoch 101, accuracy 0.92325 
epoch 102, accuracy 0.9234166666666667 
epoch 103, accuracy 0.9234166666666667 
epoch 104, accuracy 0.9235 
epoch 105, accuracy 0.9236666666666666 
epoch 106, accuracy 0.9238333333333333 
epoch 107, accuracy 0.9239166666666667 
epoch 108, accuracy 0.92425 
epoch 109, accuracy 0.9243333333333333 
epoch 110, accuracy 0.9245833333333333 
epoch 111, accuracy 0.9245833333333333 
epoch 112, accuracy 0.92475 
epoch 113, accuracy 0.9248333333333333 
epoch 114, accuracy 0.9249166666666667 
epoch 115, accuracy 0.9249166666666667 
epoch 116, accuracy 0.9250833333333334 
epoch 117, accuracy 0.9255833333333333 
epoch 118, accuracy 0.92575 
epoch 119, accuracy 0.926 
epoch 120, accuracy 0.926 
epoch 121, accuracy 0.9259166666666667 
epoch 122, accuracy 0.9264166666666667 
epoch 123, accuracy 0.9265 
epoch 124, accuracy 0.9265 
epoch 125, accuracy 0.9265833333333333 
epoch 126, accuracy 0.927 
epoch 127, accuracy 0.9269166666666667 
epoch 128, accuracy 0.9269166666666667 
epoch 129, accuracy 0.9269166666666667 
epoch 130, accuracy 0.9268333333333333 
epoch 131, accuracy 0.9270833333333334 
epoch 132, accuracy 0.9273333333333333 
epoch 133, accuracy 0.9274166666666667 
epoch 134, accuracy 0.9275 
epoch 135, accuracy 0.92775 
epoch 136, accuracy 0.9278333333333333 
epoch 137, accuracy 0.9279166666666666 
epoch 138, accuracy 0.92825 
epoch 139, accuracy 0.92825 
