NUmber_of_parameters= 1671 
 epoch 0, accuracy 0.8686305732484076 
epoch 1, accuracy 0.9096337579617835 
epoch 2, accuracy 0.92078025477707 
epoch 3, accuracy 0.9410828025477707 
epoch 4, accuracy 0.9382961783439491 
epoch 5, accuracy 0.9486464968152867 
epoch 6, accuracy 0.9486464968152867 
epoch 7, accuracy 0.9498407643312102 
epoch 8, accuracy 0.9410828025477707 
epoch 9, accuracy 0.9482484076433121 
Forward time -0.002579229010734707 
