NUmber_of_parameters= 1710 
 epoch 0, accuracy 0.73975 
epoch 1, accuracy 0.787 
epoch 2, accuracy 0.8313333333333334 
epoch 3, accuracy 0.8668333333333333 
epoch 4, accuracy 0.88375 
epoch 5, accuracy 0.8925 
epoch 6, accuracy 0.896 
epoch 7, accuracy 0.89825 
epoch 8, accuracy 0.9015 
epoch 9, accuracy 0.9045833333333333 
epoch 10, accuracy 0.9078333333333334 
epoch 11, accuracy 0.9108333333333334 
epoch 12, accuracy 0.91325 
epoch 13, accuracy 0.9156666666666666 
epoch 14, accuracy 0.9169166666666667 
epoch 15, accuracy 0.91925 
epoch 16, accuracy 0.9205 
epoch 17, accuracy 0.92225 
epoch 18, accuracy 0.9230833333333334 
epoch 19, accuracy 0.92425 
epoch 20, accuracy 0.925 
epoch 21, accuracy 0.9259166666666667 
epoch 22, accuracy 0.92675 
epoch 23, accuracy 0.92675 
epoch 24, accuracy 0.9273333333333333 
epoch 25, accuracy 0.9274166666666667 
epoch 26, accuracy 0.9275833333333333 
epoch 27, accuracy 0.92725 
epoch 28, accuracy 0.9269166666666667 
epoch 29, accuracy 0.9268333333333333 
epoch 30, accuracy 0.9269166666666667 
epoch 31, accuracy 0.9274166666666667 
epoch 32, accuracy 0.9275833333333333 
epoch 33, accuracy 0.9275833333333333 
epoch 34, accuracy 0.9278333333333333 
epoch 35, accuracy 0.9284166666666667 
epoch 36, accuracy 0.9289166666666666 
epoch 37, accuracy 0.9291666666666667 
epoch 38, accuracy 0.9295 
epoch 39, accuracy 0.9305833333333333 
epoch 40, accuracy 0.93125 
epoch 41, accuracy 0.9318333333333333 
epoch 42, accuracy 0.9329166666666666 
epoch 43, accuracy 0.9335 
epoch 44, accuracy 0.9344166666666667 
epoch 45, accuracy 0.9351666666666667 
epoch 46, accuracy 0.93625 
epoch 47, accuracy 0.9371666666666667 
epoch 48, accuracy 0.9373333333333334 
epoch 49, accuracy 0.938 
epoch 50, accuracy 0.93825 
epoch 51, accuracy 0.9393333333333334 
epoch 52, accuracy 0.9393333333333334 
epoch 53, accuracy 0.94025 
epoch 54, accuracy 0.9405 
epoch 55, accuracy 0.94025 
epoch 56, accuracy 0.9409166666666666 
epoch 57, accuracy 0.9413333333333334 
epoch 58, accuracy 0.9418333333333333 
epoch 59, accuracy 0.9418333333333333 
epoch 60, accuracy 0.9411666666666667 
epoch 61, accuracy 0.941 
epoch 62, accuracy 0.9410833333333334 
epoch 63, accuracy 0.9410833333333334 
epoch 64, accuracy 0.9405833333333333 
epoch 65, accuracy 0.94025 
epoch 66, accuracy 0.9405 
epoch 67, accuracy 0.9405833333333333 
epoch 68, accuracy 0.9405833333333333 
epoch 69, accuracy 0.9401666666666667 
epoch 70, accuracy 0.94025 
epoch 71, accuracy 0.9404166666666667 
epoch 72, accuracy 0.94 
epoch 73, accuracy 0.9399166666666666 
epoch 74, accuracy 0.9398333333333333 
epoch 75, accuracy 0.9399166666666666 
epoch 76, accuracy 0.94 
epoch 77, accuracy 0.9400833333333334 
epoch 78, accuracy 0.9403333333333334 
epoch 79, accuracy 0.9403333333333334 
epoch 80, accuracy 0.9405833333333333 
epoch 81, accuracy 0.9409166666666666 
epoch 82, accuracy 0.9411666666666667 
epoch 83, accuracy 0.9413333333333334 
epoch 84, accuracy 0.9421666666666667 
epoch 85, accuracy 0.9425833333333333 
epoch 86, accuracy 0.94275 
epoch 87, accuracy 0.9425833333333333 
epoch 88, accuracy 0.9431666666666667 
epoch 89, accuracy 0.9433333333333334 
epoch 90, accuracy 0.94375 
epoch 91, accuracy 0.94375 
epoch 92, accuracy 0.94375 
epoch 93, accuracy 0.9439166666666666 
epoch 94, accuracy 0.9440833333333334 
epoch 95, accuracy 0.94425 
epoch 96, accuracy 0.9444166666666667 
epoch 97, accuracy 0.9444166666666667 
epoch 98, accuracy 0.9444166666666667 
epoch 99, accuracy 0.9446666666666667 
epoch 100, accuracy 0.945 
epoch 101, accuracy 0.9453333333333334 
epoch 102, accuracy 0.9455 
epoch 103, accuracy 0.9455 
epoch 104, accuracy 0.9455 
epoch 105, accuracy 0.9455833333333333 
epoch 106, accuracy 0.9459166666666666 
epoch 107, accuracy 0.9458333333333333 
epoch 108, accuracy 0.9459166666666666 
epoch 109, accuracy 0.9458333333333333 
epoch 110, accuracy 0.946 
epoch 111, accuracy 0.94625 
epoch 112, accuracy 0.9463333333333334 
epoch 113, accuracy 0.9464166666666667 
epoch 114, accuracy 0.9464166666666667 
epoch 115, accuracy 0.9465 
epoch 116, accuracy 0.9466666666666667 
epoch 117, accuracy 0.9466666666666667 
epoch 118, accuracy 0.9465833333333333 
epoch 119, accuracy 0.9465 
epoch 120, accuracy 0.9465 
epoch 121, accuracy 0.9465 
epoch 122, accuracy 0.9466666666666667 
epoch 123, accuracy 0.9465833333333333 
epoch 124, accuracy 0.9465833333333333 
epoch 125, accuracy 0.9464166666666667 
epoch 126, accuracy 0.9463333333333334 
epoch 127, accuracy 0.9463333333333334 
epoch 128, accuracy 0.9463333333333334 
epoch 129, accuracy 0.9464166666666667 
epoch 130, accuracy 0.9464166666666667 
epoch 131, accuracy 0.9465833333333333 
epoch 132, accuracy 0.9466666666666667 
epoch 133, accuracy 0.9468333333333333 
epoch 134, accuracy 0.9468333333333333 
epoch 135, accuracy 0.94675 
epoch 136, accuracy 0.9468333333333333 
epoch 137, accuracy 0.9468333333333333 
epoch 138, accuracy 0.947 
epoch 139, accuracy 0.947 
epoch 140, accuracy 0.947 
epoch 141, accuracy 0.9470833333333334 
epoch 142, accuracy 0.947 
epoch 143, accuracy 0.9471666666666667 
epoch 144, accuracy 0.9473333333333334 
epoch 145, accuracy 0.9471666666666667 
epoch 146, accuracy 0.9470833333333334 
epoch 147, accuracy 0.9469166666666666 
epoch 148, accuracy 0.947 
epoch 149, accuracy 0.9471666666666667 
epoch 150, accuracy 0.9473333333333334 
epoch 151, accuracy 0.9475 
epoch 152, accuracy 0.9474166666666667 
epoch 153, accuracy 0.9473333333333334 
epoch 154, accuracy 0.9476666666666667 
epoch 155, accuracy 0.9475833333333333 
epoch 156, accuracy 0.9475833333333333 
epoch 157, accuracy 0.9475833333333333 
epoch 158, accuracy 0.9475833333333333 
epoch 159, accuracy 0.9474166666666667 
epoch 160, accuracy 0.9474166666666667 
epoch 161, accuracy 0.9473333333333334 
epoch 162, accuracy 0.9473333333333334 
epoch 163, accuracy 0.9476666666666667 
epoch 164, accuracy 0.94775 
epoch 165, accuracy 0.9478333333333333 
epoch 166, accuracy 0.9481666666666667 
epoch 167, accuracy 0.9480833333333333 
epoch 168, accuracy 0.94825 
epoch 169, accuracy 0.94825 
epoch 170, accuracy 0.9485 
epoch 171, accuracy 0.9485833333333333 
epoch 172, accuracy 0.9488333333333333 
epoch 173, accuracy 0.9488333333333333 
epoch 174, accuracy 0.9491666666666667 
epoch 175, accuracy 0.94925 
epoch 176, accuracy 0.9493333333333334 
epoch 177, accuracy 0.9494166666666667 
epoch 178, accuracy 0.9495833333333333 
epoch 179, accuracy 0.9498333333333333 
epoch 180, accuracy 0.95 
epoch 181, accuracy 0.9500833333333333 
epoch 182, accuracy 0.95 
epoch 183, accuracy 0.9498333333333333 
epoch 184, accuracy 0.9498333333333333 
epoch 185, accuracy 0.9495 
epoch 186, accuracy 0.9495 
epoch 187, accuracy 0.9495833333333333 
epoch 188, accuracy 0.9498333333333333 
epoch 189, accuracy 0.9496666666666667 
epoch 190, accuracy 0.9494166666666667 
epoch 191, accuracy 0.9493333333333334 
epoch 192, accuracy 0.9494166666666667 
epoch 193, accuracy 0.9493333333333334 
epoch 194, accuracy 0.9494166666666667 
epoch 195, accuracy 0.9495 
epoch 196, accuracy 0.9495833333333333 
epoch 197, accuracy 0.9495 
epoch 198, accuracy 0.9495833333333333 
epoch 199, accuracy 0.9495833333333333 
epoch 200, accuracy 0.9495 
epoch 201, accuracy 0.9494166666666667 
epoch 202, accuracy 0.9496666666666667 
epoch 203, accuracy 0.94975 
epoch 204, accuracy 0.9496666666666667 
epoch 205, accuracy 0.9495833333333333 
epoch 206, accuracy 0.9496666666666667 
epoch 207, accuracy 0.9496666666666667 
epoch 208, accuracy 0.9495833333333333 
epoch 209, accuracy 0.9495 
epoch 210, accuracy 0.9493333333333334 
epoch 211, accuracy 0.9494166666666667 
epoch 212, accuracy 0.9494166666666667 
epoch 213, accuracy 0.94925 
epoch 214, accuracy 0.9493333333333334 
epoch 215, accuracy 0.9491666666666667 
epoch 216, accuracy 0.9490833333333333 
epoch 217, accuracy 0.9490833333333333 
epoch 218, accuracy 0.9490833333333333 
epoch 219, accuracy 0.949 
epoch 220, accuracy 0.9491666666666667 
epoch 221, accuracy 0.9490833333333333 
epoch 222, accuracy 0.9490833333333333 
epoch 223, accuracy 0.9490833333333333 
epoch 224, accuracy 0.9490833333333333 
epoch 225, accuracy 0.9489166666666666 
epoch 226, accuracy 0.9488333333333333 
epoch 227, accuracy 0.9485833333333333 
epoch 228, accuracy 0.9484166666666667 
epoch 229, accuracy 0.9480833333333333 
epoch 230, accuracy 0.9479166666666666 
epoch 231, accuracy 0.9479166666666666 
epoch 232, accuracy 0.9478333333333333 
epoch 233, accuracy 0.9478333333333333 
epoch 234, accuracy 0.9476666666666667 
epoch 235, accuracy 0.9474166666666667 
epoch 236, accuracy 0.9474166666666667 
epoch 237, accuracy 0.9476666666666667 
epoch 238, accuracy 0.9476666666666667 
epoch 239, accuracy 0.9475833333333333 
epoch 240, accuracy 0.9474166666666667 
epoch 241, accuracy 0.9473333333333334 
epoch 242, accuracy 0.9474166666666667 
epoch 243, accuracy 0.94725 
epoch 244, accuracy 0.9473333333333334 
epoch 245, accuracy 0.9473333333333334 
epoch 246, accuracy 0.9475 
epoch 247, accuracy 0.9473333333333334 
epoch 248, accuracy 0.9475833333333333 
epoch 249, accuracy 0.9474166666666667 
epoch 250, accuracy 0.9475833333333333 
epoch 251, accuracy 0.9475833333333333 
epoch 252, accuracy 0.9476666666666667 
epoch 253, accuracy 0.94775 
epoch 254, accuracy 0.9475833333333333 
epoch 255, accuracy 0.9476666666666667 
epoch 256, accuracy 0.9475833333333333 
epoch 257, accuracy 0.9476666666666667 
epoch 258, accuracy 0.94775 
epoch 259, accuracy 0.9478333333333333 
epoch 260, accuracy 0.9478333333333333 
epoch 261, accuracy 0.9476666666666667 
epoch 262, accuracy 0.9476666666666667 
epoch 263, accuracy 0.9476666666666667 
epoch 264, accuracy 0.9476666666666667 
epoch 265, accuracy 0.9475 
epoch 266, accuracy 0.9475833333333333 
epoch 267, accuracy 0.9478333333333333 
epoch 268, accuracy 0.9478333333333333 
epoch 269, accuracy 0.9478333333333333 
epoch 270, accuracy 0.9479166666666666 
epoch 271, accuracy 0.9478333333333333 
epoch 272, accuracy 0.9479166666666666 
epoch 273, accuracy 0.9476666666666667 
epoch 274, accuracy 0.9475833333333333 
epoch 275, accuracy 0.9475833333333333 
epoch 276, accuracy 0.9475833333333333 
epoch 277, accuracy 0.9474166666666667 
epoch 278, accuracy 0.9473333333333334 
epoch 279, accuracy 0.9470833333333334 
epoch 280, accuracy 0.9470833333333334 
epoch 281, accuracy 0.947 
epoch 282, accuracy 0.9468333333333333 
epoch 283, accuracy 0.9469166666666666 
epoch 284, accuracy 0.9468333333333333 
epoch 285, accuracy 0.9469166666666666 
epoch 286, accuracy 0.9466666666666667 
epoch 287, accuracy 0.9466666666666667 
epoch 288, accuracy 0.9465833333333333 
epoch 289, accuracy 0.9465 
epoch 290, accuracy 0.9464166666666667 
epoch 291, accuracy 0.9461666666666667 
epoch 292, accuracy 0.9459166666666666 
epoch 293, accuracy 0.9458333333333333 
epoch 294, accuracy 0.94575 
epoch 295, accuracy 0.9455833333333333 
epoch 296, accuracy 0.9455833333333333 
epoch 297, accuracy 0.94575 
epoch 298, accuracy 0.946 
epoch 299, accuracy 0.9459166666666666 
epoch 300, accuracy 0.946 
epoch 301, accuracy 0.9454166666666667 
epoch 302, accuracy 0.9455833333333333 
epoch 303, accuracy 0.9454166666666667 
epoch 304, accuracy 0.9456666666666667 
epoch 305, accuracy 0.9455833333333333 
epoch 306, accuracy 0.9455833333333333 
epoch 307, accuracy 0.9456666666666667 
epoch 308, accuracy 0.94575 
epoch 309, accuracy 0.9456666666666667 
epoch 310, accuracy 0.9455 
epoch 311, accuracy 0.9453333333333334 
epoch 312, accuracy 0.9455 
epoch 313, accuracy 0.9455833333333333 
epoch 314, accuracy 0.9455833333333333 
epoch 315, accuracy 0.94575 
epoch 316, accuracy 0.94575 
epoch 317, accuracy 0.9458333333333333 
epoch 318, accuracy 0.94575 
epoch 319, accuracy 0.94575 
epoch 320, accuracy 0.94575 
epoch 321, accuracy 0.9455833333333333 
epoch 322, accuracy 0.9455 
epoch 323, accuracy 0.9455 
epoch 324, accuracy 0.94575 
epoch 325, accuracy 0.94575 
epoch 326, accuracy 0.9456666666666667 
epoch 327, accuracy 0.94575 
epoch 328, accuracy 0.9458333333333333 
epoch 329, accuracy 0.9459166666666666 
epoch 330, accuracy 0.9458333333333333 
epoch 331, accuracy 0.94575 
epoch 332, accuracy 0.94575 
epoch 333, accuracy 0.9459166666666666 
epoch 334, accuracy 0.9459166666666666 
epoch 335, accuracy 0.9459166666666666 
epoch 336, accuracy 0.9458333333333333 
epoch 337, accuracy 0.946 
epoch 338, accuracy 0.946 
epoch 339, accuracy 0.9459166666666666 
epoch 340, accuracy 0.9458333333333333 
epoch 341, accuracy 0.9459166666666666 
epoch 342, accuracy 0.946 
epoch 343, accuracy 0.9459166666666666 
epoch 344, accuracy 0.9458333333333333 
epoch 345, accuracy 0.94575 
epoch 346, accuracy 0.9456666666666667 
epoch 347, accuracy 0.9454166666666667 
epoch 348, accuracy 0.9455833333333333 
epoch 349, accuracy 0.9454166666666667 
epoch 350, accuracy 0.94525 
epoch 351, accuracy 0.94525 
epoch 352, accuracy 0.9451666666666667 
epoch 353, accuracy 0.9450833333333334 
epoch 354, accuracy 0.945 
epoch 355, accuracy 0.9449166666666666 
epoch 356, accuracy 0.9448333333333333 
epoch 357, accuracy 0.9448333333333333 
epoch 358, accuracy 0.9449166666666666 
epoch 359, accuracy 0.9449166666666666 
epoch 360, accuracy 0.9449166666666666 
epoch 361, accuracy 0.945 
epoch 362, accuracy 0.945 
epoch 363, accuracy 0.9450833333333334 
epoch 364, accuracy 0.9450833333333334 
epoch 365, accuracy 0.9450833333333334 
epoch 366, accuracy 0.9450833333333334 
epoch 367, accuracy 0.945 
epoch 368, accuracy 0.9449166666666666 
epoch 369, accuracy 0.94475 
epoch 370, accuracy 0.94475 
epoch 371, accuracy 0.94475 
epoch 372, accuracy 0.94475 
epoch 373, accuracy 0.94475 
epoch 374, accuracy 0.94475 
epoch 375, accuracy 0.94475 
epoch 376, accuracy 0.9446666666666667 
epoch 377, accuracy 0.9446666666666667 
epoch 378, accuracy 0.94475 
epoch 379, accuracy 0.9448333333333333 
epoch 380, accuracy 0.9445833333333333 
epoch 381, accuracy 0.9445833333333333 
epoch 382, accuracy 0.9443333333333334 
epoch 383, accuracy 0.94425 
epoch 384, accuracy 0.9443333333333334 
epoch 385, accuracy 0.9444166666666667 
epoch 386, accuracy 0.9444166666666667 
epoch 387, accuracy 0.9444166666666667 
epoch 388, accuracy 0.9444166666666667 
epoch 389, accuracy 0.9443333333333334 
epoch 390, accuracy 0.9443333333333334 
epoch 391, accuracy 0.9443333333333334 
epoch 392, accuracy 0.9443333333333334 
epoch 393, accuracy 0.9443333333333334 
epoch 394, accuracy 0.9443333333333334 
epoch 395, accuracy 0.9444166666666667 
epoch 396, accuracy 0.94425 
epoch 397, accuracy 0.9440833333333334 
epoch 398, accuracy 0.9440833333333334 
epoch 399, accuracy 0.9440833333333334 
epoch 400, accuracy 0.9440833333333334 
epoch 401, accuracy 0.9440833333333334 
epoch 402, accuracy 0.9440833333333334 
epoch 403, accuracy 0.9441666666666667 
epoch 404, accuracy 0.9441666666666667 
epoch 405, accuracy 0.9441666666666667 
epoch 406, accuracy 0.9443333333333334 
epoch 407, accuracy 0.94425 
epoch 408, accuracy 0.94425 
epoch 409, accuracy 0.94425 
epoch 410, accuracy 0.9443333333333334 
epoch 411, accuracy 0.9443333333333334 
epoch 412, accuracy 0.9443333333333334 
epoch 413, accuracy 0.9441666666666667 
