NUmber_of_parameters= 1710 
 epoch 0, accuracy 0.73975 
epoch 414, accuracy 0.9441666666666667 
epoch 415, accuracy 0.9441666666666667 
epoch 416, accuracy 0.94425 
epoch 417, accuracy 0.9443333333333334 
epoch 418, accuracy 0.9444166666666667 
epoch 419, accuracy 0.9443333333333334 
epoch 420, accuracy 0.9443333333333334 
epoch 421, accuracy 0.9443333333333334 
epoch 422, accuracy 0.9444166666666667 
epoch 423, accuracy 0.9445833333333333 
epoch 424, accuracy 0.9445833333333333 
epoch 425, accuracy 0.9445833333333333 
epoch 426, accuracy 0.9445833333333333 
epoch 427, accuracy 0.9445833333333333 
epoch 428, accuracy 0.9448333333333333 
epoch 429, accuracy 0.9448333333333333 
epoch 430, accuracy 0.9448333333333333 
epoch 431, accuracy 0.9448333333333333 
epoch 432, accuracy 0.9448333333333333 
epoch 433, accuracy 0.9448333333333333 
epoch 434, accuracy 0.9449166666666666 
epoch 435, accuracy 0.9449166666666666 
epoch 436, accuracy 0.9449166666666666 
epoch 437, accuracy 0.9449166666666666 
epoch 438, accuracy 0.9449166666666666 
epoch 439, accuracy 0.945 
epoch 440, accuracy 0.945 
epoch 441, accuracy 0.945 
epoch 442, accuracy 0.945 
epoch 443, accuracy 0.9450833333333334 
epoch 444, accuracy 0.9451666666666667 
epoch 445, accuracy 0.9450833333333334 
epoch 446, accuracy 0.945 
epoch 447, accuracy 0.9449166666666666 
epoch 448, accuracy 0.9449166666666666 
epoch 449, accuracy 0.9449166666666666 
epoch 450, accuracy 0.94475 
epoch 451, accuracy 0.9449166666666666 
epoch 452, accuracy 0.9448333333333333 
epoch 453, accuracy 0.9450833333333334 
epoch 454, accuracy 0.9450833333333334 
epoch 455, accuracy 0.9450833333333334 
epoch 456, accuracy 0.9451666666666667 
epoch 457, accuracy 0.9451666666666667 
epoch 458, accuracy 0.94525 
epoch 459, accuracy 0.94525 
epoch 460, accuracy 0.9453333333333334 
epoch 461, accuracy 0.9453333333333334 
epoch 462, accuracy 0.94525 
epoch 463, accuracy 0.94525 
epoch 464, accuracy 0.9453333333333334 
epoch 465, accuracy 0.9453333333333334 
epoch 466, accuracy 0.9453333333333334 
epoch 467, accuracy 0.9454166666666667 
epoch 468, accuracy 0.9454166666666667 
epoch 469, accuracy 0.9453333333333334 
epoch 470, accuracy 0.94525 
epoch 471, accuracy 0.9453333333333334 
epoch 472, accuracy 0.94525 
epoch 473, accuracy 0.94525 
epoch 474, accuracy 0.9453333333333334 
epoch 475, accuracy 0.9455833333333333 
epoch 476, accuracy 0.9455833333333333 
epoch 477, accuracy 0.94575 
epoch 478, accuracy 0.9459166666666666 
epoch 479, accuracy 0.9459166666666666 
epoch 480, accuracy 0.9459166666666666 
epoch 481, accuracy 0.9459166666666666 
epoch 482, accuracy 0.94575 
epoch 483, accuracy 0.94575 
epoch 484, accuracy 0.9458333333333333 
epoch 485, accuracy 0.9458333333333333 
epoch 486, accuracy 0.946 
epoch 487, accuracy 0.9458333333333333 
epoch 488, accuracy 0.9459166666666666 
epoch 489, accuracy 0.94575 
epoch 490, accuracy 0.9458333333333333 
epoch 491, accuracy 0.94575 
epoch 492, accuracy 0.94575 
epoch 493, accuracy 0.9456666666666667 
epoch 494, accuracy 0.94575 
epoch 495, accuracy 0.9456666666666667 
epoch 496, accuracy 0.9455833333333333 
epoch 497, accuracy 0.9458333333333333 
epoch 498, accuracy 0.9458333333333333 
epoch 499, accuracy 0.9458333333333333 
epoch 500, accuracy 0.9459166666666666 
epoch 501, accuracy 0.9459166666666666 
epoch 502, accuracy 0.9458333333333333 
epoch 503, accuracy 0.946 
epoch 504, accuracy 0.94575 
epoch 505, accuracy 0.94575 
epoch 506, accuracy 0.9459166666666666 
epoch 507, accuracy 0.946 
epoch 508, accuracy 0.9459166666666666 
epoch 509, accuracy 0.9460833333333334 
epoch 510, accuracy 0.9459166666666666 
epoch 511, accuracy 0.9458333333333333 
epoch 512, accuracy 0.9458333333333333 
epoch 513, accuracy 0.9458333333333333 
epoch 514, accuracy 0.94575 
epoch 515, accuracy 0.94575 
epoch 516, accuracy 0.94575 
epoch 517, accuracy 0.9456666666666667 
epoch 518, accuracy 0.9456666666666667 
epoch 519, accuracy 0.94575 
epoch 520, accuracy 0.94575 
epoch 521, accuracy 0.9458333333333333 
epoch 522, accuracy 0.9458333333333333 
epoch 523, accuracy 0.9459166666666666 
epoch 524, accuracy 0.9461666666666667 
epoch 525, accuracy 0.9461666666666667 
epoch 526, accuracy 0.9463333333333334 
epoch 527, accuracy 0.9464166666666667 
epoch 528, accuracy 0.9466666666666667 
epoch 529, accuracy 0.94675 
epoch 530, accuracy 0.947 
epoch 531, accuracy 0.9471666666666667 
epoch 532, accuracy 0.9470833333333334 
epoch 533, accuracy 0.94725 
epoch 534, accuracy 0.9471666666666667 
epoch 535, accuracy 0.9471666666666667 
epoch 536, accuracy 0.9471666666666667 
epoch 537, accuracy 0.9471666666666667 
epoch 538, accuracy 0.9471666666666667 
epoch 539, accuracy 0.9471666666666667 
epoch 540, accuracy 0.9474166666666667 
epoch 541, accuracy 0.9474166666666667 
epoch 542, accuracy 0.9475 
epoch 543, accuracy 0.9475 
epoch 544, accuracy 0.9475 
epoch 545, accuracy 0.9476666666666667 
epoch 546, accuracy 0.94775 
epoch 547, accuracy 0.9479166666666666 
epoch 548, accuracy 0.948 
epoch 549, accuracy 0.948 
epoch 550, accuracy 0.948 
epoch 551, accuracy 0.9480833333333333 
epoch 552, accuracy 0.9480833333333333 
epoch 553, accuracy 0.9481666666666667 
epoch 554, accuracy 0.94825 
epoch 555, accuracy 0.9483333333333334 
epoch 556, accuracy 0.9484166666666667 
epoch 557, accuracy 0.9483333333333334 
epoch 558, accuracy 0.9483333333333334 
epoch 559, accuracy 0.9484166666666667 
epoch 560, accuracy 0.9484166666666667 
epoch 561, accuracy 0.9484166666666667 
epoch 562, accuracy 0.9484166666666667 
epoch 563, accuracy 0.9485833333333333 
epoch 564, accuracy 0.94875 
epoch 565, accuracy 0.94875 
epoch 566, accuracy 0.9488333333333333 
epoch 567, accuracy 0.9489166666666666 
epoch 568, accuracy 0.9491666666666667 
epoch 569, accuracy 0.9491666666666667 
epoch 570, accuracy 0.9495 
epoch 571, accuracy 0.9491666666666667 
epoch 572, accuracy 0.94925 
epoch 573, accuracy 0.9491666666666667 
epoch 574, accuracy 0.9494166666666667 
epoch 575, accuracy 0.94925 
epoch 576, accuracy 0.9494166666666667 
epoch 577, accuracy 0.9493333333333334 
epoch 578, accuracy 0.9499166666666666 
epoch 579, accuracy 0.95 
epoch 580, accuracy 0.94975 
epoch 581, accuracy 0.9499166666666666 
epoch 582, accuracy 0.9499166666666666 
epoch 583, accuracy 0.9500833333333333 
epoch 584, accuracy 0.9501666666666667 
epoch 585, accuracy 0.95025 
epoch 586, accuracy 0.9503333333333334 
epoch 587, accuracy 0.9504166666666667 
epoch 588, accuracy 0.9503333333333334 
epoch 589, accuracy 0.9504166666666667 
epoch 590, accuracy 0.9504166666666667 
epoch 591, accuracy 0.9504166666666667 
epoch 592, accuracy 0.9504166666666667 
epoch 593, accuracy 0.9504166666666667 
epoch 594, accuracy 0.95075 
epoch 595, accuracy 0.951 
epoch 596, accuracy 0.951 
epoch 597, accuracy 0.9508333333333333 
epoch 598, accuracy 0.9514166666666667 
epoch 599, accuracy 0.9510833333333333 
